objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490587","7.97603","8.09901","2.2261","18","140451","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Back to the Future: Back in Time","302388","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490509","6.44052","7.26414","2.3871","1292","6587","thing","Back to the Future: Back in Time","2","4","50","50","50","2020","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490413","6.75829","6.90757","1.2795","733","37415","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Batman: The Animated Series Adventures – Shadow of the Bat","299566","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490518","5.87294","8.12519","3.4828","3545","1596","thing","Batman: The Animated Series Adventures – Shadow of the Bat","1","5","90","90","60","2021","1,2,3,4,5","2,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bears vs Babies","211534","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490646","5.36526","5.43756","1.2526","24508","12871","thing","Bears vs Babies","2","5","20","20","15","2017","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bilder","255291","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490475","5.54468","6.75184","2","11823","173","thing","Bilder","2","12","60","60","15","2018","2,3,4,5,6,7,8,9,10,11,12","4,5,6","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros 2: The Casino Capers","286537","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490506","6.28821","7.37987","2.4865","1655","4909","thing","Burgle Bros 2: The Casino Capers","1","4","70","70","45","2021","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Canvas","290236","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490512","6.96612","7.33133","1.6471","465","18300","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490388","7.31766","7.52558","2.1821","193","27974","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490425","6.62051","6.77148","1.3817","968","30783","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
